Distance_(pixels),Gray_Value
0,254.667
1,254.667
2,254.686
3,254.886
4,254.819
5,254.726
6,254.667
7,254.667
8,254.687
9,254.993
10,254.713
11,254.667
12,254.245
13,254.005
14,253.946
15,252.425
16,252.937
17,252.768
18,251.091
19,245.937
20,233.761
21,217.196
22,202.105
23,187.923
24,171.093
25,161.608
26,141.294
27,115.011
28,106.685
29,113.013
30,114.746
31,112.067
32,112.463
33,113.625
34,113.160
35,112.865
36,111.864
37,111.040
38,109.216
39,108.130
40,107.686
41,106.718
42,106.141
43,106.732
44,107.322
45,107.913
46,108.619
47,109.769
48,110.685
49,111.276
50,111.921
51,112.777
52,113.002
53,113.329
54,113.651
55,112.887
56,112.398
57,112.029
58,111.399
59,110.427
60,108.163
61,105.658
62,103.159
63,99.960
64,98.347
65,97.461
66,97.258
67,97.689
68,98.670
69,101.172
70,103.155
71,105.221
72,106.113
73,106.567
74,107.040
75,107.414
76,107.667
77,107.610
78,107.667
79,107.667
80,107.669
81,107.977
82,108.534
83,107.908
84,106.260
85,104.521
86,102.729
87,100.230
88,94.708
89,89.423
90,84.900
91,81.843
92,79.998
93,80.128
94,81.424
95,81.891
96,82.679
97,85.174
98,87.863
99,91.196
100,94.511
101,97.872
102,100.577
103,101.988
104,103.224
105,105.239
106,105.973
107,105.593
108,105.965
109,105.777
110,105.957
111,105.541
112,104.578
113,103.534
114,102.958
115,100.284
116,97.402
117,93.444
118,88.815
119,84.469
120,81.859
121,80.373
122,79.837
123,77.483
124,77.505
125,78.628
126,81.230
127,85.349
128,89.214
129,91.907
130,93.906
131,94.935
132,94.049
133,94.289
134,94.663
135,95.276
136,95.832
137,96.178
138,96.667
139,96.554
140,96.121
141,94.935
142,93.453
143,91.149
144,88.179
145,85.968
146,84.583
147,83.846
148,82.750
149,81.371
150,78.197
151,77.596
152,77.668
153,78.066
154,78.410
155,78.750
156,79.581
157,80.480
158,81.406
159,84.971
160,86.587
161,87.152
162,87.370
163,87.896
164,88.300
165,88.293
166,87.801
167,87.510
168,83.774
169,83.219
170,83.552
171,83.174
172,81.291
173,79.488
174,78.705
175,78.765
176,80.098
177,77.390
178,72.942
179,70.066
180,68.289
181,67.253
182,67.319
183,68.508
184,70.345
185,73.425
186,79.725
187,82.710
188,83.993
189,84.572
190,86.344
191,87.871
192,89.420
193,90.421
194,89.832
195,86.292
196,85.408
197,85.775
198,85.992
199,85.875
200,84.868
201,84.303
202,83.589
203,82.444
204,79.082
205,74.283
206,68.369
207,63.110
208,60.094
209,60.386
210,62.195
211,63.728
212,64.985
213,64.603
214,68.683
215,79.609
216,85.855
217,86.550
218,83.566
219,82.292
220,83.844
221,87.083
222,85.244
223,84.089
224,84.796
225,85.155
226,85.271
227,86.081
228,85.900
229,84.856
230,82.943
231,78.558
232,70.931
233,62.400
234,56.723
235,56.045
236,57.748
237,57.025
238,55.182
239,53.360
240,54.712
241,56.523
242,58.234
243,60.524
244,62.762
245,65.477
246,67.492
247,69.430
248,70.184
249,69.018
250,69.965
251,72.069
252,73.536
253,73.950
254,73.353
255,72.736
256,70.818
257,69.600
258,66.837
259,63.879
260,61.936
261,59.908
262,58.172
263,56.773
264,55.904
265,52.949
266,51.000
267,53.054
268,54.667
269,54.808
270,55.180
271,55.965
272,55.670
273,56.634
274,56.912
275,57.043
276,56.571
277,57.249
278,60.183
279,61.865
280,63.033
281,63.333
282,65.382
283,66.061
284,66.622
285,67.000
286,66.432
287,65.930
288,65.312
289,64.401
290,63.173
291,61.784
292,61.590
293,60.391
294,59.693
295,56.463
296,54.219
297,53.216
298,52.973
299,51.489
300,49.488
301,48.320
302,48.051
303,50.030
304,51.529
305,51.597
306,51.326
307,51.000
308,52.608
309,56.804
310,61.222
311,63.709
312,63.741
313,64.003
314,63.846
315,63.700
316,64.163
317,64.590
318,65.238
319,64.783
320,64.159
321,64.571
322,63.293
323,59.846
324,57.106
325,54.015
326,51.994
327,50.214
328,48.721
329,47.175
330,47.296
331,48.333
332,48.333
333,48.379
334,48.692
335,48.667
336,49.450
337,50.097
338,51.169
339,54.848
340,59.707
341,59.089
342,56.902
343,55.848
344,55.446
345,56.821
346,58.017
347,57.779
348,57.350
349,58.244
350,58.469
351,56.159
352,53.268
353,51.578
354,50.692
355,49.396
356,48.197
357,48.073
358,48.077
359,47.643
360,47.347
361,47.333
362,46.894
363,46.431
364,46.333
365,46.463
366,47.579
367,50.053
368,50.522
369,51.717
370,52.115
371,52.882
372,53.611
373,54.176
374,54.688
375,55.558
376,57.164
377,57.699
378,58.029
379,57.542
380,56.815
381,55.010
382,52.582
383,50.128
384,47.816
385,45.563
386,46.784
387,46.333
388,46.333
389,46.333
390,46.203
391,46.028
392,46.000
393,46.000
394,46.303
395,46.990
396,47.166
397,48.368
398,49.019
399,49.696
400,50.340
401,50.861
402,51.968
403,55.162
404,55.149
405,55.333
406,55.284
407,55.283
408,55.094
409,54.821
410,54.358
411,54.046
412,53.882
413,52.359
