Distance_(pixels),Gray_Value
0,16.333
1,15.254
2,13.509
3,12.091
4,10.349
5,10.571
6,10.819
7,11.067
8,11.314
9,11.562
10,11.810
11,12.057
12,9.437
13,8.737
14,8.156
15,8.524
16,9.581
17,11.273
18,12.705
19,14.114
20,15.568
21,14.867
22,13.105
23,11.276
24,10.371
25,10.397
26,10.479
27,10.562
28,6.433
29,6.297
30,7.238
31,8.235
32,10.130
33,11.229
34,12.225
35,13.123
36,14.190
37,12.789
38,10.527
39,9.352
40,9.583
41,11.222
42,12.804
43,13.974
44,13.265
45,14.279
46,16.665
47,19.255
48,20.993
49,21.333
50,20.635
51,19.950
52,19.355
53,21.640
54,25.774
55,29.734
56,32.030
57,31.940
58,30.567
59,29.862
60,28.682
61,27.418
62,27.589
63,27.813
64,27.749
65,27.869
66,28.301
67,28.744
68,24.685
69,24.432
70,25.885
71,26.645
72,25.944
73,24.613
74,22.151
75,19.570
76,14.048
77,12.252
78,12.089
79,11.479
80,11.026
81,9.786
82,9.435
83,8.891
84,10.769
85,11.664
86,10.841
87,11.210
88,13.034
89,14.163
90,14.218
91,13.119
92,14.653
93,15.927
94,16.611
95,17.540
96,19.083
97,21.517
98,23.193
99,25.066
100,25.282
101,27.273
102,30.932
103,34.806
104,37.304
105,37.222
106,36.609
107,36.107
108,41.368
109,43.977
110,41.726
111,39.581
112,37.940
113,38.180
114,39.687
115,40.958
116,35.805
117,33.379
118,35.093
119,36.927
120,37.354
121,36.322
122,34.314
123,32.314
124,24.126
125,19.736
126,21.120
127,21.827
128,21.074
129,19.429
130,17.254
131,15.087
132,13.850
133,13.343
134,13.051
135,12.741
136,13.224
137,15.162
138,18.019
139,20.451
140,20.325
141,19.546
142,19.837
143,19.259
144,18.127
145,19.636
146,24.323
147,29.178
148,35.664
149,40.481
150,41.416
151,40.719
152,37.965
153,35.231
154,34.560
155,35.448
156,39.116
157,43.883
158,46.062
159,45.386
160,44.306
161,48.008
162,58.979
163,71.932
164,73.361
165,67.705
166,64.742
167,58.562
168,50.907
169,43.713
170,37.803
171,33.914
172,33.672
173,34.217
174,32.286
175,30.938
176,30.279
177,29.505
178,27.638
179,25.373
180,23.333
181,21.848
182,21.000
183,20.333
184,20.005
185,19.730
186,19.246
187,19.026
188,18.462
189,19.093
190,21.907
191,24.658
192,26.787
193,29.433
194,34.012
195,40.116
196,46.696
197,51.002
198,49.309
199,47.745
200,50.786
201,61.231
202,72.936
203,78.003
204,73.658
205,66.330
206,68.620
207,71.829
208,71.167
209,65.141
210,58.778
211,60.173
212,64.464
213,65.554
214,65.710
215,72.553
216,76.744
217,68.362
218,55.211
219,52.969
220,54.033
221,49.112
222,50.264
223,50.790
224,49.983
225,47.748
226,44.998
227,42.568
228,39.630
229,35.048
230,32.594
231,29.307
232,26.020
233,23.842
234,22.175
235,20.961
236,20.483
237,20.942
238,23.171
239,26.637
240,30.234
241,34.193
242,37.651
243,39.993
244,44.146
245,54.041
246,56.245
247,59.859
248,63.180
249,66.557
250,72.578
251,79.224
252,83.387
253,82.796
254,93.485
255,99.293
256,96.121
257,93.080
258,92.378
259,93.386
260,93.630
261,100.176
262,102.176
263,101.821
264,97.407
265,98.210
266,100.451
267,101.129
268,97.704
269,96.672
270,88.435
271,78.504
272,71.543
273,67.721
274,63.969
275,59.458
276,55.911
277,56.238
278,54.194
279,50.126
280,45.465
281,42.030
282,39.009
283,37.886
284,37.220
285,40.952
286,41.370
287,41.065
288,41.277
289,42.315
290,46.264
291,52.606
292,57.272
293,61.013
294,68.687
295,79.093
296,85.827
297,90.259
298,94.473
299,100.418
300,106.175
301,113.078
302,114.655
303,114.867
304,111.675
305,108.603
306,106.498
307,108.847
308,111.074
309,113.035
310,115.777
311,119.773
312,119.892
313,117.365
314,113.974
315,115.000
316,116.056
317,111.366
318,111.752
319,112.661
320,113.220
321,113.178
322,111.919
323,110.922
324,108.819
325,113.158
326,93.063
327,78.954
328,84.700
329,87.950
330,80.383
331,73.581
332,73.310
333,77.694
334,76.010
335,72.292
336,67.747
337,65.889
338,67.740
339,71.386
340,76.889
341,98.848
342,100.870
343,101.280
344,102.174
345,104.339
346,105.382
347,107.041
348,109.159
349,106.549
350,113.193
351,119.811
352,130.462
353,148.288
354,164.943
355,185.630
356,209.076
357,216.363
358,214.008
359,209.929
360,208.973
361,211.165
362,215.025
363,218.865
364,218.748
365,209.767
366,207.579
367,209.926
368,215.157
369,216.491
370,208.526
371,193.325
372,181.550
373,166.877
374,177.400
375,179.395
376,171.727
377,162.560
378,149.307
379,135.424
380,135.492
381,130.687
382,124.702
383,120.101
384,116.740
385,117.251
386,120.107
387,122.214
388,122.394
389,123.819
390,122.286
391,132.188
392,131.024
393,168.961
394,188.067
395,187.767
396,190.713
397,224.624
398,242.663
399,247.160
400,247.400
401,246.459
402,250.135
403,252.777
404,251.556
405,251.116
406,251.124
407,251.917
408,253.285
409,253.517
410,253.423
411,252.492
412,251.285
413,252.056
414,252.667
415,252.667
416,253.120
417,253.333
418,253.557
419,253.741
420,253.778
421,254.193
422,254.389
423,254.381
424,254.553
425,254.795
426,254.838
427,254.541
428,254.340
429,254.644
430,254.940
431,255.000
432,255.000
433,255.000
434,255.000
435,255.000
436,255.000
437,255.000
438,255.000
439,255.000
440,255.000
441,255.000
442,255.000
443,255.000
444,255.000
445,255.000
446,254.927
447,254.950
448,254.993
449,255.000
450,255.000
451,255.000
452,255.000
453,254.438
454,254.000
455,254.000
456,254.000
457,254.000
458,254.000
459,254.000
460,254.000
461,252.882
462,252.003
463,252.194
464,252.638
465,252.892
466,252.821
467,252.849
468,253.067
469,249.906
470,247.050
471,249.437
472,252.182
473,251.082
474,249.379
475,249.790
476,248.943
477,248.409
478,248.733
479,248.026
480,247.516
481,244.101
482,236.710
483,219.951
484,189.492
485,170.411
486,163.424
487,144.508
488,126.860
489,119.060
490,119.123
491,120.899
492,120.546
493,121.554
494,121.904
495,117.558
496,119.862
497,126.026
498,119.757
499,113.514
500,128.756
501,157.141
502,175.655
503,168.787
504,153.453
505,151.079
506,164.674
507,188.672
508,203.240
509,197.758
510,180.611
511,167.073
512,173.667
513,184.565
514,185.377
515,187.641
516,194.752
517,197.984
518,203.970
519,207.772
520,188.365
521,170.848
522,170.602
523,172.180
524,172.401
525,166.037
526,139.726
527,110.175
528,103.906
529,113.379
530,112.600
531,105.386
532,101.468
533,100.402
534,100.320
535,94.641
536,88.612
537,84.854
538,85.502
539,88.829
540,92.878
541,89.475
542,76.009
543,72.668
544,72.485
545,76.053
546,81.244
547,83.328
548,83.016
549,81.547
550,83.592
551,91.962
552,100.232
553,101.744
554,99.488
555,97.815
556,99.049
557,104.526
558,113.046
559,111.956
560,109.770
561,108.359
562,108.840
563,110.863
564,112.870
565,113.382
566,112.822
567,109.547
568,106.944
569,104.858
570,105.503
571,106.734
572,108.306
573,106.356
574,103.136
575,104.114
576,101.678
577,94.939
578,89.928
579,89.471
580,90.280
581,87.055
582,76.218
583,77.045
584,77.517
585,76.034
586,72.686
587,70.511
588,70.345
589,69.007
590,59.712
591,53.107
592,47.594
593,47.388
594,48.669
595,48.288
596,44.907
597,42.143
598,42.206
599,40.974
600,38.605
601,38.249
602,40.587
603,47.207
604,56.635
605,63.821
606,67.431
607,69.870
608,72.714
609,77.147
610,82.223
611,87.348
612,91.380
613,93.226
614,94.142
615,102.853
616,102.829
617,93.387
618,90.668
619,94.472
620,89.038
621,79.051
622,76.199
623,86.772
624,96.854
625,97.779
626,99.246
627,102.209
628,96.753
629,83.695
630,88.333
631,91.557
632,87.104
633,76.628
634,73.079
635,75.587
636,74.248
637,66.753
638,53.914
639,48.267
640,46.080
641,49.295
642,54.125
643,55.862
644,51.979
645,45.795
646,42.605
647,43.344
648,44.286
649,42.408
650,39.423
651,37.996
652,37.939
653,38.862
654,39.817
655,40.681
656,42.246
657,43.272
658,42.580
659,42.401
660,42.224
661,42.291
662,40.878
663,45.136
664,50.077
665,53.432
666,61.682
667,71.874
668,79.000
669,78.664
670,76.355
671,79.627
672,80.391
673,72.631
674,64.772
675,61.959
676,66.858
677,70.125
678,61.474
679,60.198
680,63.197
681,66.493
682,69.086
683,67.265
684,62.567
685,56.346
686,48.965
687,44.820
688,42.571
689,43.330
690,45.797
691,47.313
692,46.165
693,44.213
694,39.719
695,38.290
696,36.653
697,35.382
698,33.826
699,32.454
700,31.914
701,32.365
702,27.437
703,28.328
704,30.520
705,29.268
706,25.601
707,23.015
708,24.250
709,27.464
710,28.698
711,31.000
712,34.134
713,36.449
714,36.920
715,35.874
716,33.268
717,31.092
718,35.860
719,35.483
720,32.884
721,31.981
722,32.061
723,34.285
