Distance_(pixels),Gray_Value
0,4.667
1,4.580
2,5.486
3,5.406
4,6.305
5,6.232
6,6.656
7,7.049
8,6.294
9,5.891
10,6.764
11,8.637
12,11.459
13,12.362
14,10.326
15,8.158
16,8.254
17,7.696
18,7.135
19,7.014
20,5.994
21,5.841
22,4.827
23,4.667
24,2.823
25,3.583
26,3.667
27,4.576
28,5.573
29,6.138
30,6.627
31,7.290
32,5.857
33,5.667
34,5.667
35,5.705
36,5.797
37,5.694
38,5.401
39,4.935
40,4.672
41,4.667
42,4.667
43,4.667
44,4.667
45,4.667
46,4.667
47,4.667
48,3.827
49,3.667
50,4.210
51,4.593
52,5.062
53,5.559
54,5.916
55,6.523
56,6.455
57,6.580
58,6.754
59,6.928
60,7.101
61,7.275
62,7.449
63,7.623
64,6.123
65,5.667
66,5.667
67,5.667
68,5.667
69,5.667
70,5.754
71,5.841
72,4.970
73,4.667
74,5.419
75,5.667
76,6.412
77,6.667
78,7.245
79,7.632
80,7.667
81,7.568
82,8.037
83,8.172
84,8.777
85,9.600
86,10.082
87,10.372
88,9.135
89,8.884
90,9.145
91,9.406
92,9.667
93,9.580
94,9.493
95,9.406
96,7.754
97,7.101
98,7.188
99,7.275
100,7.362
101,7.449
102,7.536
103,7.623
104,6.928
105,6.406
106,6.877
107,7.700
108,8.856
109,9.983
110,11.014
111,11.348
112,13.137
113,14.345
114,14.338
115,14.333
116,14.010
117,13.921
118,13.763
119,13.176
120,12.201
121,11.534
122,10.683
123,9.774
124,8.279
125,6.954
126,6.045
127,5.710
128,4.231
129,3.442
130,4.277
131,5.525
132,6.703
133,7.473
134,8.219
135,9.088
136,12.924
137,17.625
138,21.487
139,24.656
140,26.160
141,25.370
142,23.219
143,20.894
144,20.364
145,21.645
146,22.769
147,23.614
148,22.881
149,20.415
150,16.876
151,13.089
152,10.606
153,9.497
154,9.000
155,8.588
156,7.754
157,7.099
158,6.593
159,6.159
160,8.456
161,11.462
162,13.279
163,16.051
164,18.829
165,21.796
166,24.367
167,25.928
168,27.952
169,31.358
170,33.537
171,35.751
172,36.997
173,35.458
174,31.667
175,28.004
176,26.172
177,25.572
178,24.282
179,22.603
180,20.726
181,18.735
182,16.786
183,15.315
184,12.615
185,9.374
186,10.402
187,13.085
188,17.023
189,22.030
190,27.562
191,31.911
192,36.406
193,41.099
194,42.830
195,45.256
196,46.927
197,47.974
198,48.616
199,48.507
200,48.528
201,49.163
202,48.255
203,46.682
204,43.768
205,40.187
206,36.679
207,33.513
208,30.198
209,27.809
210,25.391
211,21.905
212,18.919
213,18.143
214,19.474
215,21.367
216,27.087
217,40.462
218,45.780
219,51.530
220,56.911
221,62.418
222,66.991
223,70.345
224,73.166
225,76.689
226,79.789
227,83.287
228,86.598
229,86.929
230,84.077
231,78.268
232,70.699
233,60.634
234,58.210
235,56.048
236,52.214
237,47.595
238,42.446
239,38.778
240,35.789
241,31.641
242,38.071
243,45.977
244,51.603
245,57.924
246,69.850
247,85.411
248,96.600
249,97.462
250,103.322
251,107.671
252,110.047
253,109.949
254,109.009
255,108.333
256,109.479
257,111.320
258,111.311
259,111.705
260,111.067
261,111.205
262,110.765
263,111.629
264,109.324
265,103.255
266,103.410
267,103.603
268,101.545
269,100.880
270,101.138
271,103.252
272,106.031
273,109.440
274,116.760
275,148.134
276,192.897
277,219.446
278,232.111
279,242.317
280,246.884
281,241.086
282,243.347
283,246.020
284,247.619
285,249.753
286,252.332
287,250.819
288,244.040
289,250.509
290,250.746
291,252.526
292,253.266
293,253.486
294,253.139
295,252.675
296,252.190
297,253.727
298,254.029
299,254.000
300,254.274
301,254.217
302,253.743
303,252.780
304,251.770
305,248.627
306,248.159
307,246.400
308,247.006
309,253.581
310,254.179
311,253.648
312,252.192
313,251.485
314,251.583
315,248.776
316,243.211
317,232.804
318,221.046
319,206.671
320,192.880
321,156.129
322,134.051
323,110.681
324,106.409
325,111.822
326,113.507
327,109.159
328,105.676
329,108.725
330,108.721
331,107.596
332,107.438
333,108.207
334,108.716
335,110.715
336,111.072
337,113.385
338,113.681
339,113.476
340,113.245
341,113.295
342,113.334
343,114.310
344,113.231
345,109.154
346,105.631
347,102.695
348,98.442
349,92.762
350,82.298
351,69.356
352,58.609
353,50.990
354,48.273
355,46.510
356,45.546
357,44.475
358,45.220
359,46.452
360,47.709
361,53.332
362,57.814
363,64.189
364,70.749
365,77.139
366,82.005
367,86.271
368,89.333
369,85.438
370,84.461
371,82.683
372,77.837
373,70.268
374,63.155
375,60.739
376,61.581
377,56.873
378,53.787
379,50.535
380,44.452
381,38.293
382,31.613
383,26.218
384,22.868
385,19.599
386,18.859
387,20.411
388,22.584
389,26.176
390,29.534
391,31.923
392,33.776
393,38.418
394,41.480
395,43.509
396,45.472
397,48.266
398,50.755
399,53.293
400,55.487
401,55.384
402,53.552
403,49.592
404,44.635
405,39.319
406,35.640
407,33.849
408,33.472
409,29.082
410,25.483
411,22.902
412,19.579
413,16.788
414,15.385
415,15.426
416,16.333
417,16.017
418,16.035
419,16.924
420,18.230
421,20.179
422,22.004
423,23.965
424,25.808
425,29.355
426,31.624
427,32.153
428,32.739
429,33.391
430,33.630
431,34.672
432,35.752
433,29.686
434,23.984
435,23.562
436,22.484
437,20.744
438,18.982
439,17.664
440,16.728
441,14.224
442,12.272
443,12.129
444,11.846
445,11.384
446,11.232
447,11.340
448,11.056
449,10.797
450,11.188
451,11.643
452,12.337
453,13.436
454,14.607
455,15.435
456,16.600
457,18.472
458,19.712
459,20.682
460,21.538
461,20.887
462,19.757
463,18.090
464,16.172
465,14.071
466,12.426
467,12.404
468,11.885
469,10.769
470,9.810
471,9.105
472,8.640
473,7.564
474,6.798
475,7.043
476,7.654
477,8.449
478,9.054
479,9.855
480,10.058
481,10.057
482,10.203
483,10.667
484,11.188
485,11.710
486,12.232
487,12.754
488,13.137
489,13.082
490,12.361
491,11.611
492,10.122
493,8.414
494,6.233
495,4.351
496,3.843
497,4.297
498,5.690
499,5.629
500,5.318
501,4.802
502,4.117
503,2.939
504,2.290
505,3.186
506,5.667
507,5.571
508,4.842
509,4.129
510,3.685
511,3.226
512,3.541
513,4.399
514,7.058
515,7.295
516,7.597
517,7.859
518,8.087
519,8.261
520,8.435
521,7.672
522,5.058
523,4.894
524,4.232
525,4.234
526,3.904
527,3.319
528,3.493
529,3.205
530,1.928
531,2.188
532,2.449
533,2.710
534,2.971
535,3.232
536,3.493
537,3.674
538,3.449
539,3.536
540,3.623
541,3.754
542,3.928
543,4.101
544,4.275
545,4.203
546,3.145
547,3.232
548,3.319
549,3.406
550,3.493
551,3.580
552,3.667
553,3.540
554,2.014
555,2.295
556,3.014
557,3.101
558,3.183
559,3.058
560,2.971
561,2.981
562,3.667
563,3.667
564,3.667
565,3.667
566,3.667
567,3.667
568,3.667
569,3.667
570,3.667
571,3.667
572,3.667
573,3.667
574,3.667
575,3.667
576,3.667
577,3.667
578,3.667
579,3.667
580,3.667
581,3.667
582,3.667
583,3.667
584,3.667
585,3.667
586,3.667
587,3.710
588,3.797
589,3.884
590,3.971
591,4.058
592,4.145
593,4.232
594,4.319
595,4.406
596,4.493
597,4.580
598,4.667
