Distance_(pixels),Gray_Value
0,1.667
1,1.667
2,2.746
3,4.599
4,5.494
5,6.802
6,6.412
7,6.394
8,7.557
9,9.679
10,10.046
11,8.447
12,5.789
13,7.125
14,7.113
15,7.186
16,7.097
17,7.000
18,7.000
19,7.286
20,7.333
21,9.723
22,10.284
23,10.345
24,11.036
25,11.307
26,11.333
27,11.067
28,11.000
29,9.784
30,8.792
31,7.662
32,6.097
33,5.611
34,5.667
35,6.406
36,6.874
37,6.530
38,5.760
39,5.415
40,5.058
41,5.397
42,5.347
43,6.162
44,6.432
45,6.549
46,6.667
47,6.667
48,6.024
49,5.667
50,5.038
51,4.667
52,4.743
53,5.959
54,6.322
55,6.497
56,6.774
57,7.838
58,9.880
59,12.017
60,12.616
61,11.907
62,11.709
63,11.828
64,11.625
65,10.576
66,8.908
67,7.451
68,6.846
69,11.284
70,15.199
71,12.809
72,11.059
73,11.214
74,11.742
75,11.067
76,9.276
77,9.061
78,10.141
79,10.877
80,11.359
81,11.667
82,11.372
83,10.410
84,9.299
85,8.217
86,7.564
87,7.800
88,8.319
89,8.667
90,8.764
91,8.841
92,8.722
93,8.654
94,8.582
95,8.960
96,9.953
97,11.096
98,12.867
99,14.785
100,15.929
101,14.097
102,10.713
103,15.146
104,15.899
105,11.382
106,10.195
107,12.570
108,17.757
109,20.700
110,19.090
111,20.076
112,20.463
113,21.475
114,22.361
115,23.694
116,24.042
117,24.947
118,24.322
119,23.571
120,22.051
121,21.515
122,21.903
123,22.734
124,24.998
125,25.800
126,19.697
127,20.752
128,20.969
129,20.836
130,20.694
131,18.713
132,15.483
133,12.562
134,14.152
135,13.669
136,12.678
137,11.685
138,11.667
139,12.633
140,13.626
141,14.618
142,15.713
143,13.781
144,11.799
145,10.974
146,10.457
147,11.989
148,13.384
149,14.436
150,9.344
151,7.737
152,11.161
153,20.472
154,25.780
155,27.359
156,28.765
157,31.161
158,27.987
159,30.633
160,34.560
161,37.520
162,37.977
163,38.762
164,40.472
165,42.523
166,37.411
167,36.639
168,39.064
169,40.819
170,41.184
171,40.355
172,39.502
173,38.715
174,38.753
175,37.931
176,36.181
177,34.343
178,32.116
179,30.624
180,29.729
181,28.057
182,26.586
183,25.907
184,25.667
185,25.035
186,23.306
187,20.999
188,18.162
189,16.153
190,14.660
191,13.420
192,12.428
193,11.639
194,12.244
195,13.459
196,15.591
197,19.129
198,19.688
199,21.563
200,29.410
201,33.835
202,32.551
203,31.952
204,35.395
205,39.014
206,43.123
207,48.286
208,52.495
209,55.899
210,56.644
211,56.092
212,56.338
213,57.158
214,60.016
215,62.670
216,62.084
217,62.647
218,64.177
219,65.041
220,63.550
221,61.766
222,59.983
223,60.044
224,62.353
225,62.592
226,59.576
227,55.746
228,52.843
229,52.410
230,53.809
231,56.771
232,51.747
233,46.367
234,42.397
235,40.865
236,39.403
237,36.780
238,32.834
239,26.499
240,25.178
241,24.255
242,23.751
243,24.444
244,26.315
245,27.743
246,29.267
247,34.074
248,33.157
249,34.563
250,37.795
251,42.163
252,45.248
253,46.867
254,46.469
255,52.211
256,54.759
257,59.416
258,65.383
259,73.221
260,80.619
261,86.126
262,89.237
263,92.143
264,94.680
265,96.576
266,96.829
267,95.496
268,96.074
269,99.333
270,100.736
271,97.637
272,98.848
273,100.320
274,101.933
275,102.227
276,101.171
277,99.388
278,97.523
279,92.058
280,88.287
281,86.871
282,88.276
283,87.603
284,83.043
285,74.963
286,68.525
287,58.704
288,55.850
289,54.477
290,52.197
291,49.483
292,46.440
293,43.217
294,40.792
295,41.635
296,40.170
297,39.381
298,42.131
299,47.388
300,53.701
301,58.617
302,61.019
303,70.426
304,75.978
305,82.691
306,90.215
307,96.455
308,100.293
309,102.879
310,105.309
311,102.509
312,104.741
313,111.489
314,115.275
315,115.610
316,114.807
317,116.505
318,119.704
319,125.194
320,127.817
321,127.373
322,125.782
323,123.459
324,124.961
325,132.552
326,141.327
327,138.297
328,130.911
329,124.820
330,121.366
331,121.871
332,121.512
333,120.115
334,121.823
335,120.092
336,112.442
337,106.013
338,103.006
339,104.095
